lane_code,proforma_name,direction,port_code,calling_port_indicator,calling_port_seq,turn_port_info_code,pilot_in_hours,etb_day_number,etb_day_code,etb_day_time,actual_work_hours,etd_day_number,etd_day_code,etd_day_time,pilot_out_hours,link_distance,link_eca_distance,link_speed,sea_time_hours,terminal_code
EC1,8102,E,JPTYO,1,4,,2.0,10,WED,2330,16.0,11,THU,1530,2.0,,,,,JPTYO01
EC1,8102,E,PAPCA,1,5,,2.0,28,SUN,2130,24.0,29,MON,2130,2.0,,,,,PAPCA01
EC1,8102,W,USNYC,1,6,Y,2.0,44,TUE,0030,50.0,46,THU,0230,2.0,,,,,USNYC01
EC1,8102,W,USORF,1,7,Y,2.0,51,TUE,0530,62.0,53,THU,1930,2.0,,,,,USORF01
EC1,8102,W,USILM,1,8,Y,2.0,54,FRI,1930,55.0,57,MON,0230,2.0,,,,,USILM01
EC1,8102,W,EGSUZ,1,9,,2.0,70,SUN,0730,38.0,71,MON,2130,2.0,,,,,EGSUZ01
EC1,8102,W,SGSIN,1,10,,2.0,82,FRI,1400,12.0,83,SAT,0200,2.0,,,,,SGSIN01
EC1,8102,W,JPTYO,1,11,Y,2.0,90,SAT,1500,28.0,91,SUN,1900,2.0,,,,,JPTYO01
EC1,8102,W,CNTAO,1,12,Y,2.0,98,SUN,1400,0.0,0,,0000,0.0,,,,,CNTAO01
EC2,8201,E,SGSIN,1,1,Y,2.0,0,SUN,1400,35.0,2,TUE,0100,2.0,,,,,SGSIN01
EC2,8201,E,CNSHA,1,2,Y,2.0,6,SAT,1530,48.0,8,MON,1530,2.0,,,,,CNSHA01
EC2,8201,E,KRPUS,1,3,Y,2.0,11,THU,1330,33.0,12,FRI,2230,2.0,,,,,KRPUS01
EC2,8201,E,JPTYO,1,4,,2.0,14,SUN,1500,16.0,15,MON,0700,2.0,,,,,JPTYO01
EC2,8201,E,PAPCA,1,5,,2.0,34,SAT,1100,24.0,35,SUN,1100,2.0,,,,,PAPCA01
EC2,8201,W,USNYC,1,6,Y,2.0,49,SUN,0900,50.0,51,TUE,1100,2.0,,,,,USNYC01
EC2,8201,W,USORF,1,7,Y,2.0,56,SUN,0900,62.0,58,TUE,2300,2.0,,,,,USORF01
EC2,8201,W,USILM,1,8,Y,2.0,64,MON,0900,40.0,66,WED,0300,2.0,,,,,USILM01
EC2,8201,W,EGSUZ,1,9,,2.0,77,SUN,2030,32.0,79,TUE,0830,2.0,,,,,EGSUZ01
EC2,8201,W,SGSIN,2,10,,2.0,91,SUN,1400,0.0,0,,0000,0.0,,,,,SGSIN01
FE1,5101,W,KRPUS,1,1,Y,2.0,0,SUN,1500,35.0,2,TUE,0200,2.0,,,,,KRPUS01
FE1,5101,W,CNSHA,1,2,Y,2.0,3,WED,1400,48.0,5,FRI,1400,2.0,,,,,CNSHA01
FE1,5101,W,CNNGB,1,3,Y,2.0,6,SAT,0100,33.0,7,SUN,1000,2.0,,,,,CNNGB01
FE1,5101,W,SGSIN,1,4,,2.0,13,SAT,2000,20.0,14,SUN,1600,2.0,,,,,SGSIN01
FE1,5101,W,EGSUZ,1,5,,2.0,25,THU,1000,24.0,26,FRI,1000,2.0,,,,,EGSUZ01
FE1,5101,E,DEHAM,1,6,Y,7.5,38,WED,1200,50.0,40,FRI,1400,7.5,,,,,DEHAM01
FE1,5101,E,NLRTM,1,7,Y,2.0,41,SAT,1500,58.0,44,TUE,0100,2.0,,,,,NLRTM01
FE1,5101,E,BEANR,1,8,Y,6.0,44,TUE,2000,55.0,47,FRI,0300,6.0,,,,,BEANR01
FE1,5101,E,EGSUZ,1,9,,2.0,59,WED,1000,38.0,61,FRI,0000,2.0,,,,,EGSUZ01
FE1,5101,E,SGSIN,1,10,,2.0,71,MON,2200,12.0,72,TUE,1000,2.0,,,,,SGSIN01
FE1,5101,E,CNSHA,1,11,,2.0,79,TUE,1400,28.0,80,WED,1800,2.0,,,,,CNSHA01
FE1,5101,E,KRPUS,1,12,Y,0.0,91,SUN,1500,0.0,0,,0000,0.0,,,,,KRPUS01
FE1,5102,W,KRPUS,1,1,Y,2.0,0,THU,1500,35.0,2,SAT,0200,2.0,,,,,KRPUS01
FE1,5102,W,CNSHA,1,2,Y,2.0,3,SUN,1400,48.0,5,TUE,1400,2.0,,,,,CNSHA01
FE1,5102,W,CNNGB,1,3,Y,2.0,6,WED,0100,36.0,7,THU,1300,2.0,,,,,CNNGB01
FE1,5102,W,SGSIN,1,4,,2.0,13,WED,2300,20.0,14,THU,1900,2.0,,,,,SGSIN01
FE1,5102,W,EGSUZ,1,5,,2.0,25,MON,1200,8.0,25,MON,2000,2.0,,,,,EGSUZ01
FE1,5102,E,DEHAM,1,6,Y,7.5,35,THU,1200,90.0,39,MON,0600,7.5,,,,,DEHAM01
FE1,5102,E,NLRTM,1,7,Y,2.0,40,TUE,1000,104.0,44,SAT,1800,2.0,,,,,NLRTM01
FE1,5102,E,BEANR,1,8,Y,6.0,45,SUN,1000,96.0,49,THU,1000,6.0,,,,,BEANR01
FE1,5102,E,EGSUZ,1,9,,2.0,61,TUE,1000,38.0,63,THU,0000,2.0,,,,,EGSUZ01
FE1,5102,E,SGSIN,1,10,,2.0,76,WED,2200,12.0,77,THU,1000,2.0,,,,,SGSIN01
FE1,5102,E,CNSHA,1,11,Y,2.0,86,SAT,1400,28.0,87,SUN,1800,2.0,,,,,CNSHA01
FE1,5102,E,KRPUS,1,12,Y,0.0,91,THU,1500,0.0,0,,0000,0.0,,,,,KRPUS01
FE2,5201,W,CNTAO,1,1,Y,2.0,0,FRI,1500,35.0,2,SUN,0200,2.0,,,,,CNTAO01
FE2,5201,W,CNSHA,1,2,Y,2.0,3,MON,1800,30.0,5,WED,0000,2.0,,,,,CNSHA01
FE2,5201,W,CNYTN,1,3,Y,2.0,6,THU,2300,24.0,7,FRI,2300,2.0,,,,,CNYTN01
FE2,5201,W,SGSIN,1,4,,2.0,13,THU,2000,20.0,14,FRI,1600,2.0,,,,,SGSIN01
FE2,5201,W,EGSUZ,1,5,,2.0,25,TUE,1000,24.0,26,WED,1000,2.0,,,,,EGSUZ01
FE2,5201,E,NLRTM,1,6,Y,2.0,38,MON,0100,48.0,40,WED,0100,2.0,,,,,NLRTM01
FE2,5201,E,FRLEH,1,7,Y,2.0,41,THU,0100,48.0,43,SAT,0100,2.0,,,,,FRLEH01
FE2,5201,E,DEHAM,1,8,Y,7.5,44,SUN,2000,55.0,47,WED,0300,7.5,,,,,DEHAM01
FE2,5201,E,EGSUZ,1,9,,2.0,59,MON,1000,38.0,61,WED,0000,2.0,,,,,EGSUZ01
FE2,5201,E,MYPKG,1,10,,2.0,71,SAT,2200,12.0,72,SUN,1000,2.0,,,,,MYPKG01
FE2,5201,E,CNYTN,1,11,Y,2.0,79,SUN,1400,28.0,80,MON,1800,2.0,,,,,CNYTN01
FE2,5201,E,CNTAO,1,12,Y,2.0,84,FRI,1500,0.0,0,,0000,2.0,,,,,CNTAO01
FE2,5202,W,CNTAO,1,1,Y,2.0,0,SUN,1500,35.0,2,TUE,0200,2.0,,,,,CNTAO01
FE2,5202,W,CNSHA,1,2,Y,2.0,3,WED,1400,44.0,5,FRI,1000,2.0,,,,,CNSHA01
FE2,5202,W,CNYTN,1,3,Y,2.0,7,SUN,0930,33.0,8,MON,1830,2.0,,,,,CNYTN01
FE2,5202,W,SGSIN,1,4,,2.0,12,FRI,0730,20.0,13,SAT,0330,2.0,,,,,SGSIN01
FE2,5202,W,EGSUZ,1,5,,2.0,23,TUE,2000,24.0,24,WED,2000,2.0,,,,,EGSUZ01
FE2,5202,E,NLRTM,1,6,Y,2.0,35,SUN,2000,50.0,37,TUE,2200,2.0,,,,,NLRTM01
FE2,5202,E,FRLEH,1,7,Y,2.0,38,WED,1800,62.0,41,SAT,0800,2.0,,,,,FRLEH01
FE2,5202,E,DEHAM,1,8,Y,2.0,43,MON,1800,55.0,46,THU,0100,2.0,,,,,DEHAM01
FE2,5202,E,EGSUZ,1,9,,2.0,56,SUN,1800,38.0,58,TUE,0800,2.0,,,,,EGSUZ01
FE2,5202,E,MYPKG,1,10,,2.0,70,SUN,0600,12.0,70,SUN,1800,2.0,,,,,MYPKG01
FE2,5202,E,CNYTN,1,11,Y,2.0,75,FRI,2200,28.0,77,SUN,0200,2.0,,,,,CNYTN01
FE2,5202,E,CNTAO,1,12,Y,2.0,84,SUN,1500,0.0,0,,0000,2.0,,,,,CNTAO01
PS1,7101,E,JPHKT,1,1,Y,2.0,0,FRI,1500,35.0,2,SUN,0200,2.0,,,,,JPHKT01
PS1,7101,E,JPOSA,1,2,Y,2.0,3,MON,1500,48.0,5,WED,1500,2.0,,,,,JPOSA01
PS1,7101,E,JPTYO,1,3,,2.0,6,THU,1400,33.0,7,FRI,2300,2.0,,,,,JPTYO01
PS1,7101,W,USLGB,1,4,Y,2.0,21,FRI,0100,20.0,21,FRI,2100,2.0,,,,,USLGB01
PS1,7101,W,USOAK,1,5,Y,2.0,26,WED,2200,24.0,27,THU,2200,2.0,,,,,USOAK01
PS1,7101,W,JPTYO,1,6,,2.0,44,SUN,1000,50.0,46,TUE,1200,2.0,,,,,JPTYO01
PS1,7101,W,JPHKT,1,7,Y,2.0,49,FRI,1500,0.0,0,,0000,0.0,,,,,JPHKT01
PS1,7102,E,THLCH,1,1,Y,2.0,0,SUN,1500,35.0,2,TUE,0200,2.0,,,,,THLCH01
PS1,7102,E,CNYTN,1,2,Y,2.0,7,SUN,1800,36.0,9,TUE,0600,2.0,,,,,CNYTN01
PS1,7102,E,JPOSA,1,3,,2.0,12,FRI,1000,30.0,13,SAT,1600,2.0,,,,,JPOSA01
PS1,7102,E,JPTYO,1,4,,2.0,15,MON,1900,20.0,16,TUE,1500,2.0,,,,,JPTYO01
PS1,7102,W,USLGB,1,5,Y,2.0,28,SUN,1100,24.0,29,MON,1100,2.0,,,,,USLGB01
PS1,7102,W,USOAK,1,6,Y,2.0,33,FRI,1200,50.0,35,SUN,1400,2.0,,,,,USOAK01
PS1,7102,W,JPTYO,1,7,,2.0,51,TUE,1200,50.0,53,THU,1400,2.0,,,,,JPTYO01
PS1,7102,W,THLCH,1,8,Y,2.0,63,SUN,1500,0.0,0,,0000,0.0,,,,,THLCH01
WA1,6101,W,CNTXG,1,1,Y,2.0,0,SUN,1500,35.0,2,TUE,0200,2.0,,,,,CNTXG01
WA1,6101,W,CNSHA,1,2,Y,2.0,3,WED,1830,40.0,5,FRI,1030,2.0,,,,,CNSHA01
WA1,6101,W,CNYTN,1,3,Y,2.0,7,SUN,1000,33.0,8,MON,1900,2.0,,,,,CNYTN01
WA1,6101,W,SGSIN,1,4,,2.0,15,MON,0700,20.0,16,TUE,0300,2.0,,,,,SGSIN01
WA1,6101,W,PKBQM,1,5,Y,2.0,22,MON,1530,24.0,23,TUE,1530,2.0,,,,,PKBQM01
WA1,6101,E,INNSV,1,6,Y,2.0,29,MON,1730,50.0,31,WED,1930,2.0,,,,,INNSV01
WA1,6101,E,AEDXB,1,7,Y,2.0,34,SAT,2030,62.0,37,TUE,1030,2.0,,,,,AEDXB01
WA1,6101,E,SGSIN,1,8,,2.0,45,WED,0130,55.0,47,FRI,0830,2.0,,,,,SGSIN01
WA1,6101,E,CNYTN,1,9,Y,2.0,51,TUE,1530,38.0,53,THU,0530,2.0,,,,,CNYTN01
WA1,6101,E,CNSHA,1,10,Y,2.0,56,SUN,0330,12.0,56,SUN,1530,2.0,,,,,CNSHA01
WA1,6101,E,CNTXG,1,11,Y,2.0,63,SUN,1500,0.0,0,,0000,2.0,,,,,CNTXG01
WA1,6102,W,JPTYO,1,1,Y,2.0,0,SUN,1500,35.0,2,TUE,0200,2.0,,,,,JPTYO01
WA1,6102,W,KRPUS,1,2,Y,2.0,3,WED,2300,30.0,5,FRI,0500,2.0,,,,,KRPUS01
WA1,6102,W,CNSHA,1,3,Y,2.0,6,SAT,1730,31.0,8,MON,0030,2.0,,,,,CNSHA01
WA1,6102,W,CNYTN,1,4,Y,2.0,9,TUE,2330,19.0,10,WED,1830,2.0,,,,,CNYTN01
WA1,6102,W,SGSIN,1,5,,2.0,14,SUN,2000,24.0,15,MON,2000,2.0,,,,,SGSIN01
WA1,6102,W,PKBQM,1,6,Y,2.0,22,MON,0830,50.0,24,WED,1030,2.0,,,,,PKBQM01
WA1,6102,E,INNSV,1,7,Y,2.0,27,SAT,0830,62.0,29,MON,2230,2.0,,,,,INNSV01
WA1,6102,E,AEDXB,1,8,Y,2.0,32,THU,0930,44.0,34,SAT,0530,2.0,,,,,AEDXB01
WA1,6102,E,SGSIN,1,9,,2.0,41,SAT,1630,38.0,43,MON,0630,2.0,,,,,SGSIN01
WA1,6102,E,CNYTN,1,10,Y,2.0,46,THU,1630,12.0,47,FRI,0430,2.0,,,,,CNYTN01
WA1,6102,E,CNSHA,1,11,Y,2.0,50,MON,0430,28.0,51,TUE,0830,2.0,,,,,CNSHA01
WA1,6102,E,JPTYO,1,12,Y,2.0,56,SUN,1500,0.0,0,,0000,0.0,,,,,JPTYO01
