from_port_code,canal_port_code,to_port_code,direction
CAPRR,EGSCA,CNNSS,E
CAPRR,EGSCA,CNPLI,E
CAPRR,EGSCA,CNSHA,E
CAPRR,EGSCA,CNSHG,E
CAPRR,EGSCA,CNSHK,E
CAPRR,EGSCA,CNTAO,E
CAPRR,EGSCA,CNTXG,E
CAPRR,EGSCA,CNXMN,E
CAPRR,EGSCA,CNYTN,E
CAPRR,EGSCA,CNZOS,E
CAPRR,EGSCA,EGSOK,E
CAPRR,EGSCA,HKHKG,E
CAPRR,EGSCA,INNSA,E
CAPRR,EGSCA,INNSV,E
CAPRR,EGSCA,INPAV,E
CAPRR,EGSCA,IQUQR,E
CAPRR,EGSCA,JOAQJ,E
CAPRR,EGSCA,JPHKT,E
CAPRR,EGSCA,JPNGO,E
CAPRR,EGSCA,JPOSA,E
CAPRR,EGSCA,JPSDJ,E
CAPRR,EGSCA,JPSMZ,E
CAPRR,EGSCA,JPTYO,E
CAPRR,EGSCA,JPUKB,E
CAPRR,EGSCA,JPYOK,E
CAPRR,EGSCA,JPYUR,E
CAPRR,EGSCA,KRINC,E
CAPRR,EGSCA,KRKAN,E
CAPRR,EGSCA,KRPUS,E
CAPRR,EGSCA,LKCMB,E
CAPRR,EGSCA,MYPKG,E
CAPRR,EGSCA,OMSOH,E
CAPRR,EGSCA,PKBQM,E
CAPRR,EGSCA,QAHMD,E
CAPRR,EGSCA,SADMM,E
CAPRR,EGSCA,SAJED,E
CAPRR,EGSCA,SAJUB,E
CAPRR,EGSCA,SGSIN,E
CAPRR,EGSCA,THLCH,E
CAPRR,EGSCA,TWKEL,E
CAPRR,EGSCA,TWKHH,E
CAPRR,EGSCA,VNCMP,E
CAPRR,EGSCA,VNHPH,E
CAPRR,EGSCA,VNVUT,E
CASJB,EGSCA,AEAUH,E
CASJB,EGSCA,AEDXB,E
CASJB,EGSCA,AEJEA,E
CASJB,EGSCA,CNCAN,E
CASJB,EGSCA,CNDCB,E
CASJB,EGSCA,CNDLC,E
CASJB,EGSCA,CNFOC,E
CASJB,EGSCA,CNLYG,E
CASJB,EGSCA,CNNBO,E
CASJB,EGSCA,CNNGB,E
CASJB,EGSCA,CNNSA,E
CASJB,EGSCA,CNNSS,E
CASJB,EGSCA,CNPLI,E
CASJB,EGSCA,CNSHA,E
CASJB,EGSCA,CNSHG,E
CASJB,EGSCA,CNSHK,E
CASJB,EGSCA,CNTAO,E
CASJB,EGSCA,CNTXG,E
CASJB,EGSCA,CNXMN,E
CASJB,EGSCA,CNYTN,E
CASJB,EGSCA,CNZOS,E
CASJB,EGSCA,EGSOK,E
CASJB,EGSCA,HKHKG,E
CASJB,EGSCA,INNSA,E
CASJB,EGSCA,INNSV,E
CASJB,EGSCA,INPAV,E
CASJB,EGSCA,IQUQR,E
CASJB,EGSCA,JOAQJ,E
CASJB,EGSCA,JPHKT,E
CASJB,EGSCA,JPNGO,E
CASJB,EGSCA,JPOSA,E
CASJB,EGSCA,JPSDJ,E
CASJB,EGSCA,JPSMZ,E
CASJB,EGSCA,JPTYO,E
CASJB,EGSCA,JPUKB,E
CASJB,EGSCA,JPYOK,E
CASJB,EGSCA,JPYUR,E
CASJB,EGSCA,KRINC,E
CASJB,EGSCA,KRKAN,E
CASJB,EGSCA,KRPUS,E
CASJB,EGSCA,LKCMB,E
CASJB,EGSCA,MYPKG,E
CASJB,EGSCA,OMSOH,E
CASJB,EGSCA,PKBQM,E
CASJB,EGSCA,QAHMD,E
CASJB,EGSCA,SADMM,E
CASJB,EGSCA,SAJED,E
CASJB,EGSCA,SAJUB,E
CASJB,EGSCA,SGSIN,E
CASJB,EGSCA,THLCH,E
CASJB,EGSCA,TWKEL,E
CASJB,EGSCA,TWKHH,E
CASJB,EGSCA,VNCMP,E
CASJB,EGSCA,VNHPH,E
CASJB,EGSCA,VNVUT,E
CAVAN,EGSCA,AEAUH,E
CAVAN,EGSCA,AEDXB,E
CAVAN,EGSCA,AEJEA,E
CAVAN,EGSCA,CNCAN,E
CAVAN,EGSCA,CNDCB,E
CAVAN,EGSCA,CNDLC,E
CAVAN,EGSCA,CNFOC,E
CAVAN,EGSCA,CNLYG,E
CAVAN,EGSCA,CNNBO,E
CAVAN,EGSCA,CNNGB,E
CAVAN,EGSCA,CNNSA,E
CAVAN,EGSCA,CNNSS,E
CAVAN,EGSCA,CNPLI,E
CAVAN,EGSCA,CNSHA,E
CAVAN,EGSCA,CNSHG,E
CAVAN,EGSCA,CNSHK,E
CAVAN,EGSCA,CNTAO,E
CAVAN,EGSCA,CNTXG,E
CAVAN,EGSCA,CNXMN,E
CAVAN,EGSCA,CNYTN,E
CAVAN,EGSCA,CNZOS,E
CAVAN,EGSCA,EGSOK,E
CAVAN,EGSCA,HKHKG,E
CAVAN,EGSCA,INNSA,E
CAVAN,EGSCA,INNSV,E
CAVAN,EGSCA,INPAV,E
CAVAN,EGSCA,IQUQR,E
CAVAN,EGSCA,JOAQJ,E
CAVAN,EGSCA,JPHKT,E
CAVAN,EGSCA,JPNGO,E
CAVAN,EGSCA,JPOSA,E
CAVAN,EGSCA,JPSDJ,E
CAVAN,EGSCA,JPSMZ,E
CAVAN,EGSCA,JPTYO,E
CAVAN,EGSCA,JPUKB,E
CAVAN,EGSCA,JPYOK,E
CAVAN,EGSCA,JPYUR,E
CAVAN,EGSCA,KRINC,E
CAVAN,EGSCA,KRKAN,E
CAVAN,EGSCA,KRPUS,E
CAVAN,EGSCA,LKCMB,E
CAVAN,EGSCA,MYPKG,E
CAVAN,EGSCA,OMSOH,E
CAVAN,EGSCA,PKBQM,E
CAVAN,EGSCA,QAHMD,E
CAVAN,EGSCA,SADMM,E
CAVAN,EGSCA,SAJED,E
CAVAN,EGSCA,SAJUB,E
CAVAN,EGSCA,SGSIN,E
CAVAN,EGSCA,THLCH,E
CAVAN,EGSCA,TWKEL,E
CAVAN,EGSCA,TWKHH,E
CAVAN,EGSCA,VNCMP,E
CAVAN,EGSCA,VNHPH,E
CAVAN,EGSCA,VNVUT,E
COBUN,EGSCA,AEAUH,E
COBUN,EGSCA,AEDXB,E
COBUN,EGSCA,AEJEA,E
COBUN,EGSCA,CNCAN,E
COBUN,EGSCA,CNDCB,E
COBUN,EGSCA,CNDLC,E
COBUN,EGSCA,CNFOC,E
COBUN,EGSCA,CNLYG,E
COBUN,EGSCA,CNNBO,E
COBUN,EGSCA,CNNGB,E
COBUN,EGSCA,CNNSA,E
COBUN,EGSCA,CNNSS,E
COBUN,EGSCA,CNPLI,E
COBUN,EGSCA,CNSHA,E
COBUN,EGSCA,CNSHG,E
COBUN,EGSCA,CNSHK,E
COBUN,EGSCA,CNTAO,E
COBUN,EGSCA,CNTXG,E
COBUN,EGSCA,CNXMN,E
COBUN,EGSCA,CNYTN,E
COBUN,EGSCA,CNZOS,E
COBUN,EGSCA,EGSOK,E
COBUN,EGSCA,HKHKG,E
COBUN,EGSCA,INNSA,E
COBUN,EGSCA,INNSV,E
COBUN,EGSCA,INPAV,E
COBUN,EGSCA,IQUQR,E
COBUN,EGSCA,JOAQJ,E
COBUN,EGSCA,JPHKT,E
COBUN,EGSCA,JPNGO,E
COBUN,EGSCA,JPOSA,E
COBUN,EGSCA,JPSDJ,E
COBUN,EGSCA,JPSMZ,E
COBUN,EGSCA,JPTYO,E
COBUN,EGSCA,JPUKB,E
COBUN,EGSCA,JPYOK,E
COBUN,EGSCA,JPYUR,E
COBUN,EGSCA,KRINC,E
COBUN,EGSCA,KRKAN,E
COBUN,EGSCA,KRPUS,E
COBUN,EGSCA,LKCMB,E
COBUN,EGSCA,MYPKG,E
COBUN,EGSCA,OMSOH,E
COBUN,EGSCA,PKBQM,E
COBUN,EGSCA,QAHMD,E
COBUN,EGSCA,SADMM,E
COBUN,EGSCA,SAJED,E
COBUN,EGSCA,SAJUB,E
COBUN,EGSCA,SGSIN,E
COBUN,EGSCA,THLCH,E
COBUN,EGSCA,TWKEL,E
COBUN,EGSCA,TWKHH,E
COBUN,EGSCA,VNCMP,E
COBUN,EGSCA,VNHPH,E
COBUN,EGSCA,VNVUT,E
COCNR,EGSCA,AEAUH,E
COCNR,EGSCA,AEDXB,E
COCNR,EGSCA,AEJEA,E
COCNR,EGSCA,CNCAN,E
COCNR,EGSCA,CNDCB,E
COCNR,EGSCA,CNDLC,E
COCNR,EGSCA,CNFOC,E
COCNR,EGSCA,CNLYG,E
COCNR,EGSCA,CNNBO,E
COCNR,EGSCA,CNNGB,E
COCNR,EGSCA,CNNSA,E
COCNR,EGSCA,CNNSS,E
COCNR,EGSCA,CNPLI,E
COCNR,EGSCA,CNSHA,E
COCNR,EGSCA,CNSHG,E
COCNR,EGSCA,CNSHK,E
COCNR,EGSCA,CNTAO,E
COCNR,EGSCA,CNTXG,E
COCNR,EGSCA,CNXMN,E
COCNR,EGSCA,CNYTN,E
COCNR,EGSCA,CNZOS,E
COCNR,EGSCA,EGSOK,E
COCNR,EGSCA,HKHKG,E
COCNR,EGSCA,INNSA,E
COCNR,EGSCA,INNSV,E
COCNR,EGSCA,INPAV,E
COCNR,EGSCA,IQUQR,E
COCNR,EGSCA,JOAQJ,E
COCNR,EGSCA,JPHKT,E
COCNR,EGSCA,JPNGO,E
COCNR,EGSCA,JPOSA,E
COCNR,EGSCA,JPSDJ,E
COCNR,EGSCA,JPSMZ,E
COCNR,EGSCA,JPTYO,E
COCNR,EGSCA,JPUKB,E
COCNR,EGSCA,JPYOK,E
COCNR,EGSCA,JPYUR,E
COCNR,EGSCA,KRINC,E
COCNR,EGSCA,KRKAN,E
COCNR,EGSCA,KRPUS,E
COCNR,EGSCA,LKCMB,E
COCNR,EGSCA,MYPKG,E
COCNR,EGSCA,OMSOH,E
COCNR,EGSCA,PKBQM,E
COCNR,EGSCA,QAHMD,E
COCNR,EGSCA,SADMM,E
COCNR,EGSCA,SAJED,E
COCNR,EGSCA,SAJUB,E
COCNR,EGSCA,SGSIN,E
COCNR,EGSCA,THLCH,E
COCNR,EGSCA,TWKEL,E
COCNR,EGSCA,TWKHH,E
COCNR,EGSCA,VNCMP,E
COCNR,EGSCA,VNHPH,E
COCNR,EGSCA,VNVUT,E
COCTG,EGSCA,AEAUH,E
COCTG,EGSCA,AEDXB,E
COCTG,EGSCA,AEJEA,E
COCTG,EGSCA,CNCAN,E
COCTG,EGSCA,CNDCB,E
COCTG,EGSCA,CNDLC,E
COCTG,EGSCA,CNFOC,E
COCTG,EGSCA,CNLYG,E
COCTG,EGSCA,CNNBO,E
COCTG,EGSCA,CNNGB,E
COCTG,EGSCA,CNNSA,E
COCTG,EGSCA,CNNSS,E
COCTG,EGSCA,CNPLI,E
COCTG,EGSCA,CNSHA,E
COCTG,EGSCA,CNSHG,E
COCTG,EGSCA,CNSHK,E
COCTG,EGSCA,CNTAO,E
COCTG,EGSCA,CNTXG,E
COCTG,EGSCA,CNXMN,E
COCTG,EGSCA,CNYTN,E
COCTG,EGSCA,CNZOS,E
COCTG,EGSCA,EGSOK,E
COCTG,EGSCA,HKHKG,E
COCTG,EGSCA,INNSA,E
COCTG,EGSCA,INNSV,E
COCTG,EGSCA,INPAV,E
COCTG,EGSCA,IQUQR,E
COCTG,EGSCA,JOAQJ,E
COCTG,EGSCA,JPHKT,E
COCTG,EGSCA,JPNGO,E
COCTG,EGSCA,JPOSA,E
COCTG,EGSCA,JPSDJ,E
COCTG,EGSCA,JPSMZ,E
COCTG,EGSCA,JPTYO,E
COCTG,EGSCA,JPUKB,E
COCTG,EGSCA,JPYOK,E
COCTG,EGSCA,JPYUR,E
COCTG,EGSCA,KRINC,E
COCTG,EGSCA,KRKAN,E
COCTG,EGSCA,KRPUS,E
COCTG,EGSCA,LKCMB,E
COCTG,EGSCA,MYPKG,E
COCTG,EGSCA,OMSOH,E
COCTG,EGSCA,PKBQM,E
COCTG,EGSCA,QAHMD,E
COCTG,EGSCA,SADMM,E
COCTG,EGSCA,SAJED,E
COCTG,EGSCA,SAJUB,E
COCTG,EGSCA,SGSIN,E
COCTG,EGSCA,THLCH,E
COCTG,EGSCA,TWKEL,E
COCTG,EGSCA,TWKHH,E
COCTG,EGSCA,VNCMP,E
COCTG,EGSCA,VNHPH,E
COCTG,EGSCA,VNVUT,E
COSPC,EGSCA,AEAUH,E
COSPC,EGSCA,AEDXB,E
COSPC,EGSCA,AEJEA,E
COSPC,EGSCA,CNCAN,E
COSPC,EGSCA,CNDCB,E
COSPC,EGSCA,CNDLC,E
COSPC,EGSCA,CNFOC,E
COSPC,EGSCA,CNLYG,E
COSPC,EGSCA,CNNBO,E
COSPC,EGSCA,CNNGB,E
COSPC,EGSCA,CNNSA,E
COSPC,EGSCA,CNNSS,E
COSPC,EGSCA,CNPLI,E
COSPC,EGSCA,CNSHA,E
COSPC,EGSCA,CNSHG,E
COSPC,EGSCA,CNSHK,E
COSPC,EGSCA,CNTAO,E
COSPC,EGSCA,CNTXG,E
COSPC,EGSCA,CNXMN,E
COSPC,EGSCA,CNYTN,E
COSPC,EGSCA,CNZOS,E
COSPC,EGSCA,EGSOK,E
COSPC,EGSCA,HKHKG,E
COSPC,EGSCA,INNSA,E
COSPC,EGSCA,INNSV,E
COSPC,EGSCA,INPAV,E
COSPC,EGSCA,IQUQR,E
COSPC,EGSCA,JOAQJ,E
COSPC,EGSCA,JPHKT,E
COSPC,EGSCA,JPNGO,E
COSPC,EGSCA,JPOSA,E
COSPC,EGSCA,JPSDJ,E
COSPC,EGSCA,JPSMZ,E
COSPC,EGSCA,JPTYO,E
COSPC,EGSCA,JPUKB,E
COSPC,EGSCA,JPYOK,E
COSPC,EGSCA,JPYUR,E
COSPC,EGSCA,KRINC,E
COSPC,EGSCA,KRKAN,E
COSPC,EGSCA,KRPUS,E
COSPC,EGSCA,LKCMB,E
COSPC,EGSCA,MYPKG,E
COSPC,EGSCA,OMSOH,E
COSPC,EGSCA,PKBQM,E
COSPC,EGSCA,QAHMD,E
COSPC,EGSCA,SADMM,E
COSPC,EGSCA,SAJED,E
COSPC,EGSCA,SAJUB,E
COSPC,EGSCA,SGSIN,E
COSPC,EGSCA,THLCH,E
COSPC,EGSCA,TWKEL,E
COSPC,EGSCA,TWKHH,E
COSPC,EGSCA,VNCMP,E
COSPC,EGSCA,VNHPH,E
COSPC,EGSCA,VNVUT,E
DEBRV,EGSCA,AEAUH,E
DEBRV,EGSCA,AEDXB,E
DEBRV,EGSCA,AEJEA,E
DEBRV,EGSCA,CNCAN,E
DEBRV,EGSCA,CNDCB,E
DEBRV,EGSCA,CNDLC,E
DEBRV,EGSCA,CNFOC,E
DEBRV,EGSCA,CNLYG,E
DEBRV,EGSCA,CNNBO,E
DEBRV,EGSCA,CNNGB,E
DEBRV,EGSCA,CNNSA,E
DEBRV,EGSCA,CNNSS,E
DEBRV,EGSCA,CNPLI,E
DEBRV,EGSCA,CNSHA,E
DEBRV,EGSCA,CNSHG,E
DEBRV,EGSCA,CNSHK,E
DEBRV,EGSCA,CNTAO,E
DEBRV,EGSCA,CNTXG,E
DEBRV,EGSCA,CNXMN,E
DEBRV,EGSCA,CNYTN,E
DEBRV,EGSCA,CNZOS,E
DEBRV,EGSCA,EGSOK,E
DEBRV,EGSCA,HKHKG,E
DEBRV,EGSCA,INNSA,E
DEBRV,EGSCA,INNSV,E
DEBRV,EGSCA,INPAV,E
DEBRV,EGSCA,IQUQR,E
DEBRV,EGSCA,JOAQJ,E
DEBRV,EGSCA,JPHKT,E
DEBRV,EGSCA,JPNGO,E
DEBRV,EGSCA,JPOSA,E
DEBRV,EGSCA,JPSDJ,E
DEBRV,EGSCA,JPSMZ,E
DEBRV,EGSCA,JPTYO,E
DEBRV,EGSCA,JPUKB,E
DEBRV,EGSCA,JPYOK,E
DEBRV,EGSCA,JPYUR,E
DEBRV,EGSCA,KRINC,E
DEBRV,EGSCA,KRKAN,E
DEBRV,EGSCA,KRPUS,E
DEBRV,EGSCA,LKCMB,E
DEBRV,EGSCA,MYPKG,E
DEBRV,EGSCA,OMSOH,E
DEBRV,EGSCA,PKBQM,E
DEBRV,EGSCA,QAHMD,E
DEBRV,EGSCA,SADMM,E
DEBRV,EGSCA,SAJED,E
DEBRV,EGSCA,SAJUB,E
DEBRV,EGSCA,SGSIN,E
DEBRV,EGSCA,THLCH,E
DEBRV,EGSCA,TWKEL,E
DEBRV,EGSCA,TWKHH,E
DEBRV,EGSCA,VNCMP,E
DEBRV,EGSCA,VNHPH,E
DEBRV,EGSCA,VNVUT,E
DEHAM,EGSCA,AEAUH,E
DEHAM,EGSCA,AEDXB,E
DEHAM,EGSCA,AEJEA,E
DEHAM,EGSCA,CNCAN,E
DEHAM,EGSCA,CNDCB,E
DEHAM,EGSCA,CNDLC,E
DEHAM,EGSCA,CNFOC,E
DEHAM,EGSCA,CNLYG,E
DEHAM,EGSCA,CNNBO,E
DEHAM,EGSCA,CNNGB,E
DEHAM,EGSCA,CNNSA,E
DEHAM,EGSCA,CNNSS,E
DEHAM,EGSCA,CNPLI,E
DEHAM,EGSCA,CNSHA,E
DEHAM,EGSCA,CNSHG,E
DEHAM,EGSCA,CNSHK,E
DEHAM,EGSCA,CNTAO,E
DEHAM,EGSCA,CNTXG,E
DEHAM,EGSCA,CNXMN,E
DEHAM,EGSCA,CNYTN,E
DEHAM,EGSCA,CNZOS,E
DEHAM,EGSCA,EGSOK,E
DEHAM,EGSCA,HKHKG,E
DEHAM,EGSCA,INNSA,E
DEHAM,EGSCA,INNSV,E
DEHAM,EGSCA,INPAV,E
DEHAM,EGSCA,IQUQR,E
DEHAM,EGSCA,JOAQJ,E
DEHAM,EGSCA,JPHKT,E
DEHAM,EGSCA,JPNGO,E
DEHAM,EGSCA,JPOSA,E
DEHAM,EGSCA,JPSDJ,E
DEHAM,EGSCA,JPSMZ,E
DEHAM,EGSCA,JPTYO,E
DEHAM,EGSCA,JPUKB,E
DEHAM,EGSCA,JPYOK,E
DEHAM,EGSCA,JPYUR,E
DEHAM,EGSCA,KRINC,E
DEHAM,EGSCA,KRKAN,E
DEHAM,EGSCA,KRPUS,E
DEHAM,EGSCA,LKCMB,E
DEHAM,EGSCA,MYPKG,E
DEHAM,EGSCA,OMSOH,E
DEHAM,EGSCA,PKBQM,E
DEHAM,EGSCA,QAHMD,E
DEHAM,EGSCA,SADMM,E
DEHAM,EGSCA,SAJED,E
DEHAM,EGSCA,SAJUB,E
DEHAM,EGSCA,SGSIN,E
DEHAM,EGSCA,THLCH,E
DEHAM,EGSCA,TWKEL,E
DEHAM,EGSCA,TWKHH,E
DEHAM,EGSCA,VNCMP,E
DEHAM,EGSCA,VNHPH,E
DEHAM,EGSCA,VNVUT,E
DEWVN,EGSCA,AEAUH,E
DEWVN,EGSCA,AEDXB,E
DEWVN,EGSCA,AEJEA,E
DEWVN,EGSCA,CNCAN,E
DEWVN,EGSCA,CNDCB,E
DEWVN,EGSCA,CNDLC,E
DEWVN,EGSCA,CNFOC,E
DEWVN,EGSCA,CNLYG,E
DEWVN,EGSCA,CNNBO,E
DEWVN,EGSCA,CNNGB,E
DEWVN,EGSCA,CNNSA,E
DEWVN,EGSCA,CNNSS,E
DEWVN,EGSCA,CNPLI,E
DEWVN,EGSCA,CNSHA,E
DEWVN,EGSCA,CNSHG,E
DEWVN,EGSCA,CNSHK,E
DEWVN,EGSCA,CNTAO,E
DEWVN,EGSCA,CNTXG,E
DEWVN,EGSCA,CNXMN,E
DEWVN,EGSCA,CNYTN,E
DEWVN,EGSCA,CNZOS,E
DEWVN,EGSCA,EGSOK,E
DEWVN,EGSCA,HKHKG,E
DEWVN,EGSCA,INNSA,E
DEWVN,EGSCA,INNSV,E
DEWVN,EGSCA,INPAV,E
DEWVN,EGSCA,IQUQR,E
DEWVN,EGSCA,JOAQJ,E
DEWVN,EGSCA,JPHKT,E
DEWVN,EGSCA,JPNGO,E
DEWVN,EGSCA,JPOSA,E
DEWVN,EGSCA,JPSDJ,E
DEWVN,EGSCA,JPSMZ,E
DEWVN,EGSCA,JPTYO,E
DEWVN,EGSCA,JPUKB,E
DEWVN,EGSCA,JPYOK,E
DEWVN,EGSCA,JPYUR,E
DEWVN,EGSCA,KRINC,E
DEWVN,EGSCA,KRKAN,E
DEWVN,EGSCA,KRPUS,E
DEWVN,EGSCA,LKCMB,E
DEWVN,EGSCA,MYPKG,E
DEWVN,EGSCA,OMSOH,E
DEWVN,EGSCA,PKBQM,E
DEWVN,EGSCA,QAHMD,E
DEWVN,EGSCA,SADMM,E
DEWVN,EGSCA,SAJED,E
DEWVN,EGSCA,SAJUB,E
DEWVN,EGSCA,SGSIN,E
DEWVN,EGSCA,THLCH,E
DEWVN,EGSCA,TWKEL,E
DEWVN,EGSCA,TWKHH,E
DEWVN,EGSCA,VNCMP,E
DEWVN,EGSCA,VNHPH,E
DEWVN,EGSCA,VNVUT,E
DOCAU,EGSCA,AEAUH,E
