from_port_code,to_port_code,distance,eca_distance
AEAUH,MTMAR,13140,0
AEAUH,MXATM,10091,62
AEAUH,MXLZC,10445,0
AEAUH,MXTUX,9998,62
AEAUH,MXVER,9861,62
AEAUH,MXZLO,10302,0
AEAUH,MYPKG,3370,0
AEAUH,NLRTM,6339,389
AEAUH,OMSOH,320,0
AEAUH,PABLB,10117,519
AEAUH,PAMIT,10115,519
AEAUH,PAPCA,10049,62
AEAUH,PAPCN,10116,519
AEAUH,PAROD,10117,519
AEAUH,PKBQM,4512,0
AEAUH,PLGDN,7320,389
AEAUH,PTLIS,5783,0
AEAUH,QAHMD,178,0
AEAUH,SADMM,291,0
AEAUH,SAJED,2311,0
AEAUH,SAJUB,325,0
AEAUH,SGSIN,3563,0
AEAUH,TGLFW,9652,0
AEAUH,THLCH,2240,0
AEAUH,TRALI,3744,0
AEAUH,TRGEM,3962,0
AEAUH,TRIST,3912,0
AEAUH,TRIZT,3965,0
AEAUH,TRMER,3616,0
AEAUH,TRTEK,3997,0
AEAUH,TRYAL,9371,656
AEAUH,TWKEL,3308,0
AEAUH,TWKHH,3068,0
AEAUH,USBAL,8510,401
AEAUH,USBOS,8562,726
AEAUH,USCHS,8613,458
AEAUH,USHOU,9946,1791
AEAUH,USILM,8639,530
AEAUH,USJAX,8768,613
AEAUH,USLAX,7724,374
AEAUH,USLGB,7723,373
AEAUH,USMIA,8849,31
AEAUH,USMOB,9947,2111
AEAUH,USMSY,9775,1939
AEAUH,USNYC,8204,368
AEAUH,USOAK,8051,701
AEAUH,USORF,8338,229
AEAUH,USPEF,9005,850
AEAUH,USPHL,8324,488
AEAUH,USSAV,8681,526
AEAUH,USSEA,8475,458
AEAUH,USTIW,8476,459
AEAUH,VNCMP,2040,0
AEAUH,VNHPH,2784,0
AEAUH,VNVUT,2040,0
AEAUH,ZAZBA,6729,0
AEDXB,AEAUH,4742,0
AEDXB,AEJEA,4760,0
AEDXB,BEANR,10984,333
AEDXB,BEZEE,11071,420
AEDXB,CAHAL,11049,941
AEDXB,CAPRR,9881,322
AEDXB,CASJB,11325,1217
AEDXB,CAVAN,10294,459
AEDXB,CNCAN,4742,0
AEDXB,CNDCB,4801,0
AEDXB,CNDLC,5891,0
AEDXB,CNFOC,5120,0
AEDXB,CNLYG,5882,0
AEDXB,CNNBO,5359,0
AEDXB,CNNGB,5359,0
AEDXB,CNNSA,4690,0
AEDXB,CNNSS,4706,0
AEDXB,CNPLI,6052,0
AEDXB,CNSHA,5372,0
AEDXB,CNSHG,5383,0
AEDXB,CNSHK,4691,0
AEDXB,CNTAO,5761,0
AEDXB,CNTXG,6022,0
AEDXB,CNXMN,4917,0
AEDXB,CNYTN,4735,0
AEDXB,CNZOS,5350,0
AEDXB,COBUN,12565,0
AEDXB,COCNR,12318,656
AEDXB,COCTG,12318,656
AEDXB,COSPC,12463,1277
AEDXB,DEBRV,11233,582
AEDXB,DEHAM,11236,585
AEDXB,DEWVN,11225,574
AEDXB,DOCAU,12279,1258
AEDXB,EGAKI,9398,0
AEDXB,EGDAM,7891,0
AEDXB,EGSCA,7686,0
AEDXB,EGSOK,7631,0
AEDXB,EGSUZ,7686,0
AEDXB,ESALG,9691,0
AEDXB,ESBCN,9323,0
AEDXB,ESFRO,11372,375
AEDXB,ESVLC,9468,0
AEDXB,FRBES,11537,809
AEDXB,FRDKK,10956,305
AEDXB,FRFOS,9488,0
AEDXB,FRLEH,10851,216
AEDXB,GBFXT,11029,394
AEDXB,GBLGP,10955,304
AEDXB,GBSOU,10836,185
AEDXB,GRPIR,8403,0
AEDXB,GTPRQ,11582,444
AEDXB,HKHKG,4692,0
AEDXB,ILASH,8153,0
AEDXB,ILHFA,9429,0
AEDXB,INNSA,5723,0
AEDXB,INNSV,1100,0
AEDXB,INPAV,5833,0
AEDXB,IQUQR,4913,0
AEDXB,ITGOA,9277,0
AEDXB,ITLIV,9344,0
AEDXB,ITSAL,9663,0
AEDXB,ITSPE,9320,0
AEDXB,ITVDL,9289,0
AEDXB,JOAQJ,7581,0
AEDXB,JPHKT,6185,0
AEDXB,JPNGO,6035,0
AEDXB,JPOSA,5835,0
AEDXB,JPSDJ,6358,0
AEDXB,JPSMZ,6099,0
AEDXB,JPTYO,6085,0
AEDXB,JPUKB,5948,0
AEDXB,JPYOK,6235,0
AEDXB,JPYUR,5975,0
AEDXB,KRINC,5827,0
AEDXB,KRKAN,5754,0
AEDXB,KRPUS,5751,0
AEDXB,LKCMB,4855,0
AEDXB,MAPTM,9798,0
AEDXB,MATNG,9723,0
AEDXB,MNTNG,9798,0
AEDXB,MTMAR,14958,0
AEDXB,MXATM,12643,2180
AEDXB,MXLZC,12263,0
AEDXB,MXTUX,12603,993
AEDXB,MXVER,12466,993
AEDXB,MXZLO,12120,0
AEDXB,MYPKG,3464,0
AEDXB,NLRTM,11040,389
AEDXB,OMSOH,5024,0
AEDXB,PABLB,12129,0
AEDXB,PAMIT,12129,0
AEDXB,PAPCA,12128,0
AEDXB,PAPCN,12128,0
AEDXB,PAROD,12127,0
AEDXB,PKBQM,1620,0
AEDXB,PLGDN,12021,389
AEDXB,PTLIS,10484,0
AEDXB,QAHMD,4564,0
AEDXB,SADMM,4744,0
AEDXB,SAJED,7012,0
AEDXB,SAJUB,4780,0
AEDXB,SGSIN,3280,0
AEDXB,TGLFW,11470,0
AEDXB,THLCH,4058,0
AEDXB,TRALI,8445,0
AEDXB,TRGEM,8663,0
AEDXB,TRIST,8613,0
AEDXB,TRIZT,8666,0
AEDXB,TRMER,8317,0
AEDXB,TRTEK,8698,0
AEDXB,TRYAL,14072,656
AEDXB,TWKEL,5126,0
AEDXB,TWKHH,4886,0
AEDXB,USBAL,10872,764
AEDXB,USBOS,10846,738
AEDXB,USCHS,11068,960
AEDXB,USHOU,12347,2239
AEDXB,USILM,11001,893
AEDXB,USJAX,11223,1115
AEDXB,USLAX,9542,374
AEDXB,USLGB,9541,373
AEDXB,USMIA,11454,962
AEDXB,USMOB,12231,2123
AEDXB,USMSY,12059,1951
AEDXB,USNYC,10488,380
AEDXB,USOAK,9869,701
AEDXB,USORF,10700,592
AEDXB,USPEF,11426,1318
AEDXB,USPHL,10608,500
AEDXB,USSAV,11129,1021
AEDXB,USSEA,10293,458
AEDXB,USTIW,10294,459
AEDXB,VNCMP,3858,0
AEDXB,VNHPH,4602,0
AEDXB,VNVUT,3858,0
AEDXB,ZAZBA,8547,0
AEJEA,AEAUH,59,0
AEJEA,AEDXB,4760,0
AEJEA,BEANR,6224,333
AEJEA,BEZEE,6311,420
AEJEA,CAHAL,10834,282
AEJEA,CAPRR,8081,322
AEJEA,CASJB,8374,667
AEJEA,CAVAN,8494,459
AEJEA,CNCAN,2942,0
AEJEA,CNDCB,3001,0
AEJEA,CNDLC,4091,0
AEJEA,CNFOC,3320,0
AEJEA,CNLYG,4082,0
AEJEA,CNNBO,3559,0
AEJEA,CNNGB,3559,0
AEJEA,CNNSA,2890,0
AEJEA,CNNSS,2906,0
AEJEA,CNPLI,4252,0
AEJEA,CNSHA,5667,0
AEJEA,CNSHG,3583,0
AEJEA,CNSHK,2891,0
AEJEA,CNTAO,3961,0
AEJEA,CNTXG,4222,0
AEJEA,CNXMN,3117,0
AEJEA,CNYTN,2935,0
AEJEA,CNZOS,3550,0
AEJEA,COBUN,10496,519
AEJEA,COCNR,9917,62
AEJEA,COCTG,9956,782
AEJEA,COSPC,9917,62
AEJEA,DEBRV,6473,582
AEJEA,DEHAM,6476,585
AEJEA,DEWVN,6465,574
AEJEA,DOCAU,9772,763
AEJEA,EGAKI,4638,0
AEJEA,EGDAM,3131,0
AEJEA,EGSCA,2940,0
AEJEA,EGSOK,2871,0
AEJEA,EGSUZ,2940,0
AEJEA,ESALG,4931,0
AEJEA,ESBCN,4563,0
AEJEA,ESFRO,6612,375
AEJEA,ESVLC,4708,0
AEJEA,FRBES,6777,809
AEJEA,FRDKK,6196,305
AEJEA,FRFOS,4728,0
AEJEA,FRLEH,6091,216
AEJEA,GBFXT,6269,394
AEJEA,GBLGP,6195,304
AEJEA,GBSOU,6076,185
AEJEA,GRPIR,3643,0
AEJEA,GTPRQ,9782,444
AEJEA,HKHKG,4940,0
AEJEA,ILASH,3393,0
AEJEA,ILHFA,4669,0
AEJEA,INNSA,2940,0
AEJEA,INNSV,5050,0
AEJEA,INPAV,3055,0
AEJEA,IQUQR,432,0
AEJEA,ITGOA,4517,0
AEJEA,ITLIV,4584,0
AEJEA,ITSAL,4903,0
AEJEA,ITSPE,4560,0
AEJEA,ITVDL,4529,0
AEJEA,JOAQJ,2821,0
AEJEA,JPHKT,4385,0
AEJEA,JPNGO,4235,0
AEJEA,JPOSA,4035,0
AEJEA,JPSDJ,4558,0
AEJEA,JPSMZ,4299,0
AEJEA,JPTYO,4285,0
AEJEA,JPUKB,4148,0
AEJEA,JPYOK,4435,0
AEJEA,JPYUR,4175,0
AEJEA,KRINC,4027,0
AEJEA,KRKAN,3954,0
AEJEA,KRPUS,3951,0
AEJEA,LKCMB,2049,0
AEJEA,MAPTM,5038,0
AEJEA,MATNG,4963,0
AEJEA,MNTNG,5038,0
AEJEA,MTMAR,13158,0
AEJEA,MXATM,10032,62
AEJEA,MXLZC,10463,0
AEJEA,MXTUX,9939,62
AEJEA,MXVER,9802,62
AEJEA,MXZLO,10320,0
AEJEA,MYPKG,3316,0
AEJEA,NLRTM,6280,389
AEJEA,OMSOH,264,0
AEJEA,PABLB,10058,519
AEJEA,PAMIT,10056,519
AEJEA,PAPCA,9990,62
AEJEA,PAPCN,10057,519
AEJEA,PAROD,10058,519
AEJEA,PKBQM,4530,0
AEJEA,PLGDN,7261,389
AEJEA,PTLIS,5724,0
AEJEA,QAHMD,196,0
AEJEA,SADMM,289,0
AEJEA,SAJED,2252,0
AEJEA,SAJUB,307,0
AEJEA,SGSIN,3509,0
AEJEA,TGLFW,9670,0
AEJEA,THLCH,4259,0
AEJEA,TRALI,3685,0
AEJEA,TRGEM,3903,0
AEJEA,TRIST,3853,0
AEJEA,TRIZT,3906,0
AEJEA,TRMER,3557,0
AEJEA,TRTEK,3938,0
AEJEA,TRYAL,9312,656
AEJEA,TWKEL,3326,0
AEJEA,TWKHH,3086,0
AEJEA,USBAL,8451,401
AEJEA,USBOS,8503,726
AEJEA,USCHS,8554,458
AEJEA,USHOU,9887,1791
AEJEA,USILM,8580,530
AEJEA,USJAX,8709,613
AEJEA,USLAX,7742,374
AEJEA,USLGB,7741,373
AEJEA,USMIA,8790,31
AEJEA,USMOB,9888,2111
AEJEA,USMSY,9716,1939
AEJEA,USNYC,8145,368
AEJEA,USOAK,8069,701
AEJEA,USORF,8279,229
AEJEA,USPEF,8946,850
AEJEA,USPHL,8265,488
AEJEA,USSAV,8622,526
AEJEA,USSEA,8493,458
AEJEA,USTIW,8494,459
AEJEA,VNCMP,2058,0
AEJEA,VNHPH,2802,0
AEJEA,VNVUT,2058,0
AEJEA,ZAZBA,6747,0
BEANR,AEAUH,6283,333
BEANR,AEDXB,10984,333
BEANR,AEJEA,6224,333
BEANR,BEZEE,87,87
BEANR,CAHAL,2695,872
BEANR,CAPRR,8981,1779
BEANR,CASJB,2930,1265
BEANR,CAVAN,8649,1513
BEANR,CNCAN,9138,1930
BEANR,CNDCB,9153,1930
BEANR,CNDLC,8495,1930
BEANR,CNFOC,9040,1930
BEANR,CNLYG,8457,1930
BEANR,CNNBO,8439,1930
BEANR,CNNGB,8439,1930
BEANR,CNNSA,9114,333
BEANR,CNNSS,9129,1930
BEANR,CNPLI,8731,1930
BEANR,CNSHA,8399,1930
BEANR,CNSHG,8392,1930
BEANR,CNSHK,9089,1930
BEANR,CNTAO,8440,1930
BEANR,CNTXG,8640,1930
BEANR,CNXMN,8837,1930
BEANR,CNYTN,9087,1930
BEANR,CNZOS,8421,1930
BEANR,COBUN,5090,298
BEANR,COCNR,4424,298
BEANR,COCTG,4424,298
BEANR,COSPC,4424,298
BEANR,DEBRV,264,264
BEANR,DEHAM,267,267
BEANR,DEWVN,279,279
BEANR,DOCAU,3961,307
BEANR,EGAKI,3945,338
BEANR,EGDAM,3093,333
BEANR,EGSCA,3296,352
BEANR,EGSOK,4591,333
BEANR,EGSUZ,3296,352
BEANR,ESALG,1370,352
BEANR,ESBCN,1830,333
BEANR,ESFRO,684,338
BEANR,ESVLC,1685,333
BEANR,FRBES,561,484
BEANR,FRDKK,160,160
BEANR,FRFOS,1994,333
BEANR,FRLEH,169,169
BEANR,GBFXT,141,141
BEANR,GBLGP,67,67
BEANR,GBSOU,148,148
BEANR,GRPIR,2825,352
BEANR,GTPRQ,5550,298
BEANR,HKHKG,9088,1930
BEANR,ILASH,3355,333
BEANR,ILHFA,3976,338
BEANR,INNSA,7713,333
BEANR,INNSV,11274,333
BEANR,INPAV,7828,333
BEANR,IQUQR,6656,333
BEANR,ITGOA,2142,333
BEANR,ITLIV,2179,338
BEANR,ITSAL,2396,333
BEANR,ITSPE,2182,333
BEANR,ITVDL,2154,333
BEANR,JOAQJ,4541,333
BEANR,JPHKT,9194,1930
BEANR,JPNGO,8471,1930
BEANR,JPOSA,8844,1930
BEANR,JPSDJ,8822,1930
BEANR,JPSMZ,8542,1930
BEANR,JPTYO,8594,1930
BEANR,JPUKB,8279,1930
BEANR,JPYOK,10213,1930
BEANR,JPYUR,8306,1930
BEANR,KRINC,8336,1930
BEANR,KRKAN,8030,1930
BEANR,KRPUS,7952,1930
BEANR,LKCMB,10511,375
BEANR,MAPTM,1292,333
BEANR,MATNG,1403,352
BEANR,MNTNG,1292,338
BEANR,MTMAR,19382,333
BEANR,MXATM,4926,1860
BEANR,MXLZC,14464,1930
BEANR,MXTUX,5091,375
BEANR,MXVER,5082,375
BEANR,MXZLO,6389,298
BEANR,MYPKG,7888,333
BEANR,NLRTM,64,64
BEANR,OMSOH,6488,333
BEANR,PABLB,4652,298
BEANR,PAMIT,4652,298
BEANR,PAPCA,4651,298
BEANR,PAPCN,4651,298
BEANR,PAROD,4652,298
BEANR,PKBQM,10754,333
BEANR,PLGDN,1045,64
BEANR,PTLIS,1050,385
BEANR,QAHMD,6420,333
BEANR,SADMM,6513,333
BEANR,SAJED,3972,333
BEANR,SAJUB,6531,333
BEANR,SGSIN,11760,375
BEANR,TGLFW,15894,333
BEANR,THLCH,8482,333
BEANR,TRALI,3419,338
BEANR,TRGEM,3210,338
BEANR,TRIST,3160,338
BEANR,TRIZT,3187,338
BEANR,TRMER,3397,338
BEANR,TRTEK,3245,338
BEANR,TRYAL,3184,419
BEANR,TWKEL,8761,1930
BEANR,TWKHH,8864,1930
BEANR,USBAL,3573,707
BEANR,USBOS,3573,1908
BEANR,USCHS,3695,711
BEANR,USHOU,4984,605
BEANR,USILM,3702,836
BEANR,USJAX,3835,895
BEANR,USLAX,7571,369
BEANR,USLGB,7570,368
BEANR,USMIA,4114,347
BEANR,USMOB,4774,624
BEANR,USMSY,4697,575
BEANR,USNYC,3325,743
BEANR,USOAK,7895,759
BEANR,USORF,3539,605
BEANR,USPEF,3488,657
BEANR,USPHL,3335,1670
BEANR,USSAV,3737,797
BEANR,USSEA,8648,1512
BEANR,USTIW,8649,1513
BEANR,VNCMP,8282,333
BEANR,VNHPH,9026,333
BEANR,VNVUT,8282,333
BEANR,ZAZBA,10925,896
BEZEE,AEAUH,6370,420
BEZEE,AEDXB,11071,420
BEZEE,AEJEA,6311,420
BEZEE,BEANR,87,87
BEZEE,CAHAL,2741,1076
BEZEE,CAPRR,9068,1866
BEZEE,CASJB,3017,1352
BEZEE,CAVAN,8736,1600
BEZEE,CNCAN,9225,2017
BEZEE,CNDCB,9240,2017
BEZEE,CNDLC,8582,2017
BEZEE,CNFOC,9127,2017
BEZEE,CNLYG,8544,2017
BEZEE,CNNBO,8526,2017
BEZEE,CNNGB,8526,2017
BEZEE,CNNSA,9201,420
BEZEE,CNNSS,9216,2017
BEZEE,CNPLI,8818,2017
BEZEE,CNSHA,8486,2017
BEZEE,CNSHG,8479,2017
BEZEE,CNSHK,9176,2017
BEZEE,CNTAO,8527,2017
BEZEE,CNTXG,8727,2017
BEZEE,CNXMN,8924,2017
BEZEE,CNYTN,9174,2017
BEZEE,CNZOS,8508,2017
BEZEE,COBUN,5177,385
BEZEE,COCNR,4511,385
BEZEE,COCTG,4511,385
BEZEE,COSPC,4511,385
BEZEE,DEBRV,277,277
BEZEE,DEHAM,347,347
BEZEE,DEWVN,235,235
BEZEE,DOCAU,4048,394
BEZEE,EGAKI,4032,425
BEZEE,EGDAM,3180,420
BEZEE,EGSCA,3058,420
BEZEE,EGSOK,4678,420
BEZEE,EGSUZ,3058,420
BEZEE,ESALG,1380,420
BEZEE,ESBCN,1917,420
BEZEE,ESFRO,771,425
BEZEE,ESVLC,1772,420
BEZEE,FRBES,547,470
BEZEE,FRDKK,146,146
BEZEE,FRFOS,2081,420
BEZEE,FRLEH,256,256
BEZEE,GBFXT,171,171
BEZEE,GBLGP,154,154
BEZEE,GBSOU,235,235
BEZEE,GRPIR,2884,425
BEZEE,GTPRQ,5637,385
BEZEE,HKHKG,9175,2017
BEZEE,ILASH,3442,420
BEZEE,ILHFA,4063,425
BEZEE,INNSA,7800,420
BEZEE,INNSV,11361,420
BEZEE,INPAV,7915,420
BEZEE,IQUQR,6743,420
BEZEE,ITGOA,2229,420
BEZEE,ITLIV,2266,425
BEZEE,ITSAL,2483,420
BEZEE,ITSPE,2269,420
BEZEE,ITVDL,2241,420
BEZEE,JOAQJ,4628,420
BEZEE,JPHKT,9281,2017
BEZEE,JPNGO,8558,2017
BEZEE,JPOSA,8931,2017
BEZEE,JPSDJ,8909,2017
BEZEE,JPSMZ,8629,2017
BEZEE,JPTYO,8681,2017
BEZEE,JPUKB,8366,2017
BEZEE,JPYOK,10300,2017
BEZEE,JPYUR,8393,2017
BEZEE,KRINC,8423,2017
BEZEE,KRKAN,8117,2017
BEZEE,KRPUS,8039,2017
BEZEE,LKCMB,6909,420
BEZEE,MAPTM,1379,420
BEZEE,MATNG,1379,425
BEZEE,MNTNG,1379,425
BEZEE,MTMAR,19469,420
BEZEE,MXATM,5013,1947
BEZEE,MXLZC,14551,2017
BEZEE,MXTUX,5118,1947
BEZEE,MXVER,5132,1352
BEZEE,MXZLO,6476,385
BEZEE,MYPKG,7975,420
BEZEE,NLRTM,50,50
BEZEE,OMSOH,6575,420
BEZEE,PABLB,4739,385
BEZEE,PAMIT,4739,385
BEZEE,PAPCA,4738,385
BEZEE,PAPCN,4738,385
BEZEE,PAROD,4739,385
BEZEE,PKBQM,10841,420
BEZEE,PLGDN,1031,50
BEZEE,PTLIS,1137,472
BEZEE,QAHMD,6507,420
BEZEE,SADMM,6600,420
BEZEE,SAJED,4059,420
BEZEE,SAJUB,6618,420
BEZEE,SGSIN,11689,300
BEZEE,TGLFW,15981,420
BEZEE,THLCH,8569,420
BEZEE,TRALI,3506,425
BEZEE,TRGEM,3297,425
BEZEE,TRIST,3247,425
BEZEE,TRIZT,3274,425
BEZEE,TRMER,3484,425
BEZEE,TRTEK,3332,425
BEZEE,TRYAL,3271,506
BEZEE,TWKEL,8848,2017
BEZEE,TWKHH,8951,2017
BEZEE,USBAL,3660,794
BEZEE,USBOS,3660,1995
BEZEE,USCHS,3782,798
BEZEE,USHOU,4536,1705
BEZEE,USILM,3789,923
BEZEE,USJAX,3922,982
BEZEE,USLAX,7658,456
BEZEE,USLGB,7657,455
BEZEE,USMIA,4193,1253
BEZEE,USMOB,4861,711
BEZEE,USMSY,4742,623
BEZEE,USNYC,3302,1637
BEZEE,USOAK,7982,846
BEZEE,USORF,3488,622
BEZEE,USPEF,3575,744
BEZEE,USPHL,3422,1757
BEZEE,USSAV,3824,884
BEZEE,USSEA,8735,1599
BEZEE,USTIW,8736,1600
BEZEE,VNCMP,8369,420
BEZEE,VNHPH,9113,420
BEZEE,VNVUT,8369,420
BEZEE,ZAZBA,11012,983
CAHAL,AEAUH,8157,391
CAHAL,AEDXB,11049,941
CAHAL,AEJEA,10834,282
CAHAL,BEANR,2695,872
CAHAL,BEZEE,2741,1076
CAHAL,CAPRR,6759,1763
CAHAL,CASJB,276,276
CAHAL,CAVAN,6427,1497
CAHAL,CNCAN,6484,941
CAHAL,CNDCB,6499,941
CAHAL,CNDLC,5841,941
CAHAL,CNFOC,6386,941
CAHAL,CNLYG,5803,941
CAHAL,CNNBO,5785,941
CAHAL,CNNGB,5785,941
CAHAL,CNNSA,6468,941
CAHAL,CNNSS,6475,941
CAHAL,CNPLI,6077,941
CAHAL,CNSHA,5745,941
CAHAL,CNSHG,5738,941
CAHAL,CNSHK,6435,941
CAHAL,CNTAO,5786,941
CAHAL,CNTXG,5986,941
CAHAL,CNXMN,6183,941
CAHAL,CNYTN,6433,941
CAHAL,CNZOS,5767,941
CAHAL,COBUN,2868,282
CAHAL,COCNR,2152,282
CAHAL,COCTG,2243,235
CAHAL,COSPC,2243,235
CAHAL,DEBRV,2938,980
CAHAL,DEHAM,2844,1211
CAHAL,DEWVN,2895,1230
CAHAL,DOCAU,1702,235
CAHAL,EGAKI,5662,391
CAHAL,EGDAM,4967,391
CAHAL,EGSCA,4709,379
CAHAL,EGSOK,6465,391
CAHAL,EGSUZ,4709,379
CAHAL,ESALG,3651,1026
CAHAL,ESBCN,3597,391
CAHAL,ESFRO,3042,1031
CAHAL,ESVLC,3742,391
CAHAL,FRBES,3207,1465
CAHAL,FRDKK,2626,961
CAHAL,FRFOS,3434,391
CAHAL,FRLEH,2562,877
CAHAL,GBFXT,2740,1055
CAHAL,GBLGP,2680,841
CAHAL,GBSOU,2506,841
CAHAL,GRPIR,4514,391
CAHAL,GTPRQ,3328,282
CAHAL,HKHKG,6434,941
CAHAL,ILASH,5166,391
CAHAL,ILHFA,5693,391
CAHAL,INNSA,9275,941
CAHAL,INNSV,11339,941
CAHAL,INPAV,9420,941
CAHAL,IQUQR,8530,391
CAHAL,ITGOA,3581,391
CAHAL,ITLIV,3648,391
CAHAL,ITSAL,3967,391
CAHAL,ITSPE,3624,391
CAHAL,ITVDL,3593,391
CAHAL,JOAQJ,6415,391
CAHAL,JPHKT,6540,941
CAHAL,JPNGO,5817,941
CAHAL,JPOSA,6190,941
CAHAL,JPSDJ,6168,941
CAHAL,JPSMZ,5888,941
CAHAL,JPTYO,5940,941
CAHAL,JPUKB,5625,941
CAHAL,JPYOK,7559,941
CAHAL,JPYUR,5652,941
CAHAL,KRINC,5682,941
CAHAL,KRKAN,5376,941
CAHAL,KRPUS,5298,941
CAHAL,LKCMB,10834,282
CAHAL,MAPTM,3650,1026
CAHAL,MATNG,3650,1031
CAHAL,MNTNG,3650,1031
CAHAL,MTMAR,19447,941
CAHAL,MXATM,2621,276
CAHAL,MXLZC,11810,941
CAHAL,MXTUX,2528,276
CAHAL,MXVER,2391,276
CAHAL,MXZLO,4167,282
CAHAL,MYPKG,7883,941
CAHAL,NLRTM,2752,917
CAHAL,OMSOH,8362,391
CAHAL,PABLB,2430,282
CAHAL,PAMIT,2428,282
CAHAL,PAPCA,2298,276
CAHAL,PAPCN,2429,282
CAHAL,PAROD,2430,282
CAHAL,PKBQM,10819,941
CAHAL,PLGDN,3666,2033
CAHAL,PTLIS,2429,391
CAHAL,QAHMD,8294,391
CAHAL,SADMM,8387,391
CAHAL,SAJED,5846,391
CAHAL,SAJUB,8405,391
CAHAL,SGSIN,12083,228
CAHAL,TGLFW,15959,941
CAHAL,THLCH,7825,941
CAHAL,TRALI,5136,391
CAHAL,TRGEM,4927,391
CAHAL,TRIST,4877,391
CAHAL,TRIZT,4904,391
CAHAL,TRMER,5114,391
CAHAL,TRTEK,4962,391
CAHAL,TRYAL,5742,1312
CAHAL,TWKEL,6107,941
CAHAL,TWKHH,6210,941
CAHAL,USBAL,924,924
CAHAL,USBOS,919,919
CAHAL,USCHS,1053,1053
CAHAL,USHOU,2370,1292
CAHAL,USILM,1053,1053
CAHAL,USJAX,1344,661
CAHAL,USLAX,5349,353
CAHAL,USLGB,5348,352
CAHAL,USMIA,1477,1477
CAHAL,USMOB,2304,2304
CAHAL,USMSY,2132,2132
CAHAL,USNYC,561,561
CAHAL,USOAK,5673,743
CAHAL,USORF,752,752
CAHAL,USPEF,1409,331
CAHAL,USPHL,681,681
CAHAL,USSAV,1108,1108
CAHAL,USSEA,6426,1496
CAHAL,USTIW,6427,1497
CAHAL,VNCMP,7223,941
CAHAL,VNHPH,6898,941
CAHAL,VNVUT,7223,941
CAHAL,ZAZBA,8283,1238
CAPRR,AEAUH,8063,322
CAPRR,AEDXB,9881,322
CAPRR,AEJEA,8081,322
CAPRR,BEANR,8981,1779
CAPRR,BEZEE,9068,1866
CAPRR,CAHAL,6759,1763
CAPRR,CASJB,6782,1763
CAPRR,CAVAN,553,553
CAPRR,CNCAN,5316,322
CAPRR,CNDCB,5331,322
CAPRR,CNDLC,4673,322
CAPRR,CNFOC,5218,322
CAPRR,CNLYG,4635,322
CAPRR,CNNBO,4617,322
CAPRR,CNNGB,4617,322
